fruit_id,weight_g,diameter_cm,label
A001,189.0,7.96,apple
A002,126.5,7.53,apple
A003,182.5,7.79,apple
A004,147.4,7.26,apple
A005,175.8,7.05,apple
A006,165.4,6.84,apple
A007,170.2,7.00,apple
A008,171.9,8.22,apple
A009,201.1,8.13,apple
A010,131.6,7.86,apple
A011,156.9,6.98,apple
A012,174.1,7.93,apple
A013,220.2,7.47,apple
A014,199.8,5.91,apple
A015,161.3,7.58,apple
A016,154.9,8.08,apple
A017,163.6,8.08,apple
A018,194.5,7.11,apple
A019,165.6,7.55,apple
A020,164.9,7.19,apple
A021,150.4,7.81,apple
A022,147.8,7.33,apple
A023,189.5,7.96,apple
A024,170.0,6.99,apple
O001,156.0,7.06,orange
O002,203.8,7.47,orange
O003,227.5,6.77,orange
O004,200.0,6.99,orange
O005,206.8,7.23,orange
O006,237.8,7.21,orange
O007,212.8,6.86,orange
O008,187.2,6.65,orange
O009,189.2,7.04,orange
O010,228.3,6.58,orange
O011,181.1,7.14,orange
O012,263.7,6.43,orange
O013,178.0,6.84,orange
O014,195.9,6.66,orange
O015,213.0,6.49,orange
O016,159.7,7.12,orange
O017,188.2,7.15,orange
O018,204.3,7.12,orange
O019,188.4,6.50,orange
O020,179.2,7.14,orange
O021,155.5,7.07,orange
O022,203.4,7.52,orange
O023,163.9,6.94,orange
O024,215.0,6.46,orange
P001,179.7,5.73,pear
P002,125.0,7.12,pear
P003,172.4,6.60,pear
P004,150.8,5.67,pear
P005,90.4,6.54,pear
P006,186.4,6.02,pear
P007,137.0,6.22,pear
P008,142.3,6.73,pear
P009,175.0,6.63,pear
P010,124.6,6.46,pear
P011,145.5,6.20,pear
P012,100.4,5.69,pear
P013,178.9,6.60,pear
P014,145.4,6.83,pear
P015,145.6,5.07,pear
P016,129.7,5.64,pear
P017,155.7,6.52,pear
P018,112.3,5.82,pear
P019,169.3,6.04,pear
P020,142.8,5.96,pear
P021,150.0,6.79,pear
P022,188.4,5.96,pear
P023,135.8,6.19,pear
P024,119.8,5.28,pear
A001,189.0,7.96,apple
D001,,7,apple
D002,heavy,7,orange
D003,NaN,7,pear
D004,1800,7,apple
D005,180 lb,7,orange
D006,180,7,banana
D007,180,7,apple
D007,180,7,pear
D008,180,7,apple
D008,180,7,pear
A002,0.1265 kg,7.53, APPLE 
